,Max virus (increase),Max Virus (decrease),Max dead cells (increase),Max dead cells (decrease),Min tissue (increase),Min tissue (decrease),Max inflam. macs (increase),Max inflam. macs (decrease),Max T cells (increase),Max T cells (decrease),Max IL-6 (increase),Max IL-6 (decreased),Max IFN I (increased),Max IFN I (decreased),IFN I exposure (increase),IFN I exposure (decrease)
rho,-1.85E-05,1.85E-05,0.000572238,-0.000572266,-2.31E-05,2.31E-05,-1.76E-05,1.76E-05,-1.52E-05,1.52E-05,-1.62E-05,1.62E-05,-3.24E-06,3.24E-06,8.47E-05,-8.47E-05
V0,0.007481036,-0.00737996,0.008181534,-0.008037565,0.001879281,-0.002122947,0.006163531,-0.006117883,0.005613437,-0.005517825,0.005646238,-0.005608824,0.001171345,-0.001169896,0.000890134,-0.001101281
eps_F_I,0.006112582,-0.006526774,0.007850969,-0.00835785,-0.007433436,0.007927544,0.003879576,-0.004159499,0.005756489,-0.006143941,0.003585319,-0.003847883,0.000869101,-0.00093758,0.001791258,-0.002087367
eps_Gamma_I,0.007466702,-0.007756849,0.009417916,-0.009749598,-0.008583937,0.008903644,0.004964315,-0.005183806,0.006851095,-0.007114482,0.004580724,-0.004786794,0.001078481,-0.001134417,0.001978317,-0.002303739
del_V_MPhi,-0.000109033,0.000109061,-2.33E-06,2.33E-06,-1.05E-06,1.05E-06,-4.01E-05,4.01E-05,-1.91E-06,1.91E-06,-3.64E-05,3.64E-05,-4.65E-06,4.65E-06,-5.51E-06,5.35E-06
del_V_N,-0.052009427,0.057238648,-0.000573364,0.000536698,-0.000718033,0.000741986,-0.020117776,0.021073719,0.000582275,-0.000696453,-0.018283053,0.019106546,-0.002411354,0.002450827,0.002595402,-0.002503185
d_V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phat,0.055930721,-0.055833119,0.000626215,-0.000670957,0.000747046,-0.000777964,0.021839058,-0.022721282,-0.000536855,0.000513129,0.01977487,-0.020628813,0.002514599,-0.002700649,-0.002296386,0.002551726
d_V_spec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S0,0.028320399,-0.028968433,0.034352363,-0.034650214,0.00750838,-0.011617994,0.019972857,-0.02079468,0.024512091,-0.025020033,0.018375476,-0.019173337,0.004131745,-0.004431188,0.006880771,-0.007490482
lam_S,-0.000647089,0.000659633,-0.000822302,0.000840797,-0.002568951,0.002708426,-0.000375531,0.000382341,-0.000661245,0.000675945,-0.000348751,0.000354526,-8.87E-05,9.04E-05,-0.000211565,0.000211079
Smax,0.011534176,-0.012271855,0.016794608,-0.017721174,0.057392354,-0.060521871,0.006758034,-0.007242889,0.01168323,-0.012433679,0.006266151,-0.006721637,0.001577838,-0.001711524,0.003857027,-0.004409044
h_N,0.000734765,-0.001019034,-0.001912716,0.002553747,-0.000176212,0.000229187,0.000441612,-0.000612129,0.001601889,-0.002207717,0.000410221,-0.000570352,0.000100208,-0.000138974,0.002564482,-0.003502196
h_MPhi_alpha,1.10E-06,-1.10E-06,0.000302428,-0.000305765,-4.11E-06,4.12E-06,-0.000725484,0.000733473,0.000512918,-0.000519764,-0.000665867,0.000670662,-7.83E-05,7.91E-05,0.001724214,-0.001738411
IC_50_N,0.000357739,-0.000437145,-0.001040168,0.001271836,-9.25E-05,0.000112042,0.000214858,-0.000262281,0.000783733,-0.000955274,0.000199592,-0.000243973,4.88E-05,-5.95E-05,0.001295247,-0.001582048
del_N,-0.000130688,0.000130704,0.000380845,-0.000380905,3.36E-05,-3.36E-05,-7.85E-05,7.85E-05,-0.000285873,0.000286163,-7.29E-05,7.29E-05,-1.78E-05,1.78E-05,-0.000474134,0.000474
beta,0.013281225,-0.013716699,0.00993403,-0.009784064,0.002389398,-0.002686656,0.012684965,-0.013277881,0.006374303,-0.006268203,0.011570642,-0.012130451,0.002290256,-0.002425299,0.000950797,-0.000747578
tau_I,0.006208031,-0.006223053,0.008248953,-0.00822549,0.00352098,-0.003766871,0.003777059,-0.003816252,0.006036637,-0.006032411,0.003498079,-0.003536932,0.000862082,-0.000874296,0.001770973,-0.00198991
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
del_I_MPhi,-5.51E-05,5.51E-05,-0.000168219,0.000168263,2.80E-05,-2.80E-05,-2.84E-05,2.84E-05,-0.000117954,0.000117987,-2.65E-05,2.65E-05,-7.03E-06,7.03E-06,-6.25E-05,6.25E-05
del_I_T,-0.000457029,0.00045729,0.018947965,-0.019315936,0.000208528,-0.000209448,-0.000269083,0.000269357,8.04E-05,-0.000100952,-0.000250144,0.000250185,-6.19E-05,6.21E-05,-0.020734487,0.02175691
d_I,-0.004907276,0.004971803,-0.010940258,0.011237383,0.002399131,-0.002546602,-0.002687708,0.002706007,-0.011152195,0.011552549,-0.002505923,0.0025219,-0.000643075,0.000645402,-0.018238498,0.018742324
D0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
del_D_MPhi,1.01E-09,-1.01E-09,-9.62E-07,9.62E-07,1.19E-08,-1.19E-08,6.96E-09,-6.96E-09,-8.38E-09,8.38E-09,6.44E-09,-6.44E-09,9.20E-10,-9.20E-10,-5.61E-08,5.61E-08
d_D,3.46E-05,-3.74E-05,-0.047550573,0.052534977,0.000448416,-0.000494257,0.000232776,-0.000248405,-0.000352709,0.000386253,0.000215749,-0.000231167,3.10E-05,-3.33E-05,-0.003110263,0.003423988
MPhi_R_0,-0.001108489,0.001173147,-0.005567558,0.005665475,0.0013496,-0.001431569,0.067179497,-0.065644196,-0.007827846,0.007784347,0.060584777,-0.059617401,0.005818212,-0.006185027,-0.021383602,0.023040565
d_MPhi_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lam_MPhi,0.000199018,-0.000208304,0.001334583,-0.001405423,-0.00024879,0.000259514,-0.016364976,0.017364032,0.001875906,-0.001984228,-0.014829926,0.015704134,-0.00151509,0.001573942,0.016072998,-0.015893869
eps_V_MPhi,-2.84E-05,2.89E-05,-0.000263172,0.000265488,3.56E-05,-3.57E-05,0.001404716,-0.001409038,-0.000642205,0.000648524,0.001270597,-0.001274628,0.000123943,-0.000124263,-0.013534757,0.014417078
MPhi_max,0.000631462,-0.00065979,0.002281386,-0.002437384,-0.000755182,0.000792265,-0.020219261,0.022027949,0.003465837,-0.003839311,-0.01828877,0.019874838,-0.00175211,0.0018419,0.030790105,-0.032196523
a_I_MPhi,-0.000199693,0.000211417,-0.001336955,0.001402707,0.000248718,-0.00026352,0.016516122,-0.017204059,-0.00188508,0.001969686,0.014939185,-0.015591985,0.00149731,-0.001593135,0.014553347,-0.014543275
del_MPhi_D,3.24E-06,-3.24E-06,0.000268293,-0.000269239,-3.81E-06,3.81E-06,-0.000572847,0.000575105,0.000534489,-0.000538346,-0.000525259,0.000525535,-6.05E-05,6.07E-05,0.002840539,-0.002844976
MPhi_I_0,-6.34E-05,6.42E-05,-0.00031045,0.000310938,7.80E-05,-7.81E-05,0.003658415,-0.003653036,-0.000430732,0.000431097,0.003309624,-0.003307178,0.000329501,-0.000330393,-0.001343016,0.00117589
p_MPhi_I_G,-9.21E-15,1.91E-14,-4.62E-12,4.62E-12,7.59E-14,-7.39E-14,1.20E-11,-1.20E-11,-7.38E-12,7.38E-12,1.10E-11,-1.10E-11,1.29E-12,-1.29E-12,-2.04E-11,2.23E-11
eps_G_MPhi,3.57E-14,-2.68E-14,8.73E-12,-1.02E-11,-1.42E-13,1.68E-13,-2.26E-11,2.64E-11,1.39E-11,-1.62E-11,-2.07E-11,2.41E-11,-2.44E-12,2.84E-12,4.14E-11,-4.58E-11
h_M_MPhi,3.07E-13,-1.12E-12,6.73E-11,-2.48E-10,-1.10E-12,4.07E-12,-1.74E-10,6.37E-10,1.08E-10,-3.99E-10,-1.59E-10,5.83E-10,-1.87E-11,6.83E-11,3.15E-10,-1.18E-09
p_MPhi_I_L,-5.77E-06,5.77E-06,-0.001217067,0.00119361,2.30E-05,-2.30E-05,0.002922368,-0.002901121,-0.002164873,0.002096474,0.00266544,-0.002646941,0.000300092,-0.000299068,-0.009897853,0.009779697
eps_L_MPhi,5.46E-06,-6.03E-06,0.001130957,-0.001273629,-2.18E-05,2.41E-05,-0.002746046,0.003055596,0.001987783,-0.00226712,-0.002505535,0.002786793,-0.000283005,0.000313643,0.009275403,-0.010374752
d_MPhi_I,5.66E-05,-5.70E-05,0.002948867,-0.003123782,-6.81E-05,6.82E-05,-0.008700987,0.0089242,0.004895447,-0.00531498,-0.007948441,0.008144134,-0.000903137,0.000912595,0.019033962,-0.019689701
del_MPhi,2.52E-06,-2.52E-06,0.000167221,-0.000167843,-2.85E-06,2.85E-06,-0.000505394,0.000508114,0.000276846,-0.000278197,-0.000464983,0.00046537,-5.51E-05,5.53E-05,0.000987743,-0.000989143
eps_Gamma_alpha,-2.13E-06,2.33E-06,-0.000141175,0.000153671,2.43E-06,-2.66E-06,0.000422508,-0.000458688,-0.000234357,0.000254852,0.000386777,-0.000421602,4.57E-05,-4.96E-05,-0.000834821,0.000911562
eps_alpha_MPhi,-1.28E-06,1.34E-06,-0.00028422,0.000296134,5.11E-06,-5.35E-06,0.000681771,-0.000711089,-0.000500102,0.000519593,0.000621667,-0.000650332,7.06E-05,-7.37E-05,-0.002178138,0.002277902
M0,-0.010324056,0.010605218,-0.000705851,0.000698187,-2.45E-06,4.79E-06,-0.000461895,0.000503647,-0.001706655,0.001679023,8.12E-05,-4.53E-05,-8.47E-05,8.87E-05,-0.003234374,0.003022299
eps_G_M,3.33E-15,6.22E-15,-7.77E-16,2.22E-16,6.66E-16,1.55E-15,1.13E-14,-2.66E-15,-3.33E-16,-5.55E-16,3.11E-15,-9.99E-16,8.88E-16,2.66E-15,2.84E-13,8.05E-13
d_M,0.005933355,-0.005872356,0.001328103,-0.001170785,-1.18E-05,1.36E-05,-0.000458726,0.00049392,0.007303568,-0.008490401,-0.001319809,0.001386864,-6.06E-05,6.60E-05,0.004399891,-0.008274452
h_M,2.13E-14,-1.70E-14,6.66E-16,-1.62E-14,1.78E-15,4.22E-15,-3.22E-15,9.77E-15,1.40E-14,-5.92E-14,-4.44E-15,1.35E-14,4.00E-15,1.15E-14,8.95E-13,2.17E-12
p_M_I,-0.000508492,0.000509434,-0.000135191,0.000137178,1.44E-06,-1.42E-06,5.65E-05,-5.61E-05,-0.000831799,0.00081809,0.000150724,-0.000150037,8.30E-06,-8.22E-06,-0.000753872,0.000717774
eps_I_M,0.000326006,-0.000348455,8.05E-05,-8.49E-05,-8.36E-07,8.97E-07,-3.29E-05,3.51E-05,0.000491452,-0.000528463,-8.83E-05,9.41E-05,-4.64E-06,4.93E-06,0.000404468,-0.000444778
MR,-0.005675458,0.0058941,-0.001082967,0.001277635,1.27E-05,-1.16E-05,0.000463593,-0.000451405,-0.007432369,0.006998826,0.001305371,-0.001298976,6.09E-05,-5.91E-05,-0.007326118,0.004299658
psi_M_max,-1.67E-15,-1.94E-14,-2.89E-15,7.33E-15,2.22E-16,-7.77E-16,9.99E-15,8.44E-15,-3.66E-15,-1.11E-15,4.00E-15,4.00E-15,-4.44E-16,-8.10E-15,-4.05E-13,-1.44E-12
N0,-0.008409027,0.00901118,-0.001276591,0.001289196,-0.000472171,0.000469196,-0.004802498,0.005070664,-0.000769262,0.000777237,-0.004329769,0.004567104,-0.000615407,0.000640068,-0.000900423,0.000654527
NR,-0.044071302,0.047914498,-0.001696192,0.001837948,-0.000254225,0.000289365,-0.012868219,0.013345111,-0.00554333,0.005380095,-0.011713317,0.012127546,-0.001539855,0.001561311,-0.004090735,0.003711827
eps_C_N,0.000467106,-0.000513712,-4.51E-05,5.36E-05,-1.33E-06,1.49E-06,6.27E-05,-6.92E-05,0.000402634,-0.000445363,5.83E-05,-6.44E-05,8.48E-06,-9.36E-06,-0.000272718,0.000271653
d_N,0.04591172,-0.045267659,0.001760159,-0.001721303,0.000284982,-0.000257031,0.012926671,-0.013182709,0.005089063,-0.005722795,0.011743886,-0.012000418,0.001511596,-0.001578231,0.003456353,-0.004451521
psi_N_max,-0.000515006,0.000517582,5.48E-05,-5.06E-05,1.50E-06,-1.48E-06,-6.94E-05,6.94E-05,-0.000449365,0.000448716,-6.45E-05,6.46E-05,-9.38E-06,9.39E-06,0.000277631,-0.00030522
p_N_L,-1.80E-07,1.80E-07,-7.55E-09,7.55E-09,-6.48E-10,6.48E-10,-4.62E-08,4.62E-08,-1.44E-08,1.44E-08,-4.21E-08,4.21E-08,-5.50E-09,5.50E-09,-2.32E-08,2.32E-08
eps_L_N,1.72E-07,-1.90E-07,7.19E-09,-7.95E-09,6.17E-10,-6.82E-10,4.40E-08,-4.86E-08,1.37E-08,-1.52E-08,4.01E-08,-4.43E-08,5.24E-09,-5.79E-09,2.21E-08,-2.44E-08
T0,-0.003006027,0.003198654,-0.004270973,0.004520004,0.0031719,-0.003392368,-0.002317157,0.002465635,-0.002908583,0.003080497,-0.002140012,0.002274614,-0.000471149,0.000499182,-0.000598795,0.000591471
p_T_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eps_L_T,0,0,0.003956016,-0.004291662,0,0,0,0,0.00609596,-0.006629898,0,0,0,0,-0.002519395,0.002757621
p_T_Gamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eps_Gamma_T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_T_F,-0.000119337,0.000119357,0.000592419,-0.000592654,0.000159068,-0.00015922,-7.56E-05,7.56E-05,0.002038043,-0.002032729,-7.05E-05,7.05E-05,-1.71E-05,1.72E-05,-0.000796896,0.000794647
eps_F_T,0.000111589,-0.000123078,-0.000558981,0.000617013,-0.000148634,0.000163786,7.08E-05,-7.81E-05,-0.001923384,0.002129912,6.60E-05,-7.28E-05,1.61E-05,-1.77E-05,0.000749214,-0.000831444
d_T,0.000885112,-0.000883097,-0.004496366,0.004606165,-0.001070054,0.001064136,0.000620338,-0.000616557,-0.033760131,0.036146285,0.000575441,-0.000574155,0.000133212,-0.000132651,0.017794874,-0.018259358
p_T_I,0,0,0.019585856,-0.019917788,0,0,0,0,0.049680957,-0.049682118,0,0,0,0,-0.020562976,0.021608795
eps_T_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tau_T,0,0,-0.025807642,0.026405682,0,0,0,0,0.003825956,-0.004560248,0,0,0,0,0.003026198,-0.002888299
stoch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stoch_C,0.491913253,-0.306441764,0.01563784,-0.010618132,0.002681361,-0.00063001,0.111695845,-0.103636002,0.034691927,-0.055166383,0.100968494,-0.094805277,0.012039991,-0.013466807,0.021551876,-0.037186039
avo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_U_0,8.73E-07,-3.20E-08,-2.57E-06,2.80E-06,1.05E-06,-8.12E-07,4.23E-05,-4.02E-05,-4.00E-06,4.44E-06,3.79E-05,-3.77E-05,3.94E-06,-3.58E-06,-0.00015321,-1.01E-05
L_B_0,-6.64E-08,6.60E-08,-8.97E-07,8.97E-07,2.34E-07,-2.34E-07,1.07E-05,-1.07E-05,-1.24E-06,1.24E-06,9.70E-06,-9.70E-06,9.69E-07,-9.69E-07,-2.61E-06,2.60E-06
p_L_I,3.49E-06,-3.50E-06,-9.45E-05,9.46E-05,-1.69E-06,1.69E-06,3.41E-05,-3.41E-05,-0.00017802,0.000178074,0.000690493,-0.000690483,3.84E-06,-3.84E-06,-0.000116252,0.000113782
eta_L_I,-3.01E-06,3.29E-06,8.43E-05,-9.25E-05,1.44E-06,-1.57E-06,-2.97E-05,3.26E-05,0.000161422,-0.000177471,-0.000586723,0.000641219,-3.34E-06,3.65E-06,9.97E-05,-0.000113589
p_L_MPhi,0.000267333,-0.000272614,-0.004046959,0.00396988,-0.000118866,0.000121631,0.002851395,-0.00283449,-0.00652135,0.006358383,0.050534539,-0.050263447,0.000313809,-0.000313757,-0.005541876,0.005247009
eta_L_MPhi,-0.000247831,0.000267126,0.003722176,-0.004178997,0.000110102,-0.000118434,-0.002588736,0.002864205,0.005974135,-0.006751734,-0.04551416,0.05028957,-0.000286,0.000314826,0.004828159,-0.005641838
p_L_M,9.40E-06,-9.46E-06,-0.000389839,0.000390601,-3.92E-06,3.92E-06,0.00011371,-0.000113836,-0.001157086,0.00116024,0.001643767,-0.001643791,1.22E-05,-1.22E-05,-0.001036075,0.001011788
eta_L_M,-8.27E-06,9.01E-06,0.000339853,-0.000371573,3.42E-06,-3.74E-06,-9.97E-05,0.000109156,0.001011712,-0.001105597,-0.001435528,0.001572861,-1.07E-05,1.17E-05,0.000887727,-0.000989096
k_lin_L,-0.000267457,0.0002878,0.004325934,-0.004859869,0.000121529,-0.000131025,-0.002708952,0.002992626,0.007486391,-0.00844824,-0.049889583,0.055398121,-0.000301527,0.000331466,0.006805103,-0.007613732
k_int_L,-0.000202161,0.000213677,0.003176021,-0.003458087,8.94E-05,-9.45E-05,-0.002124418,0.002294952,0.00549483,-0.00600012,-0.001941395,0.002095164,-0.000234446,0.000252328,0.004680296,-0.005124078
k_B_L,0.00028037,-0.000287256,-0.004530714,0.004461004,-0.000123428,0.00012643,0.003041693,-0.003024529,-0.007856158,0.007705149,0.00277715,-0.002762493,0.000333588,-0.000333606,-0.006726334,0.006574737
k_U_L,-7.42E-05,7.57E-05,0.00117645,-0.001213463,3.28E-05,-3.34E-05,-0.000784529,0.000807972,0.002036689,-0.002102288,-0.000717957,0.000737228,-8.65E-05,8.89E-05,0.001733632,-0.001796062
R_L_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_L_T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_L_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G_U_0,-2.22E-15,2.26E-14,-5.22E-15,7.11E-15,2.44E-15,8.88E-16,1.22E-13,-9.50E-14,-1.43E-14,1.27E-14,1.07E-13,-9.55E-14,9.77E-15,-1.11E-15,2.89E-13,1.67E-12
G_B_0,1.13E-14,4.66E-15,-3.44E-15,-2.78E-15,2.22E-16,1.11E-15,7.33E-15,5.11E-15,-9.99E-16,1.78E-15,4.00E-15,8.88E-16,4.00E-15,1.78E-15,1.32E-12,7.85E-13
